gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76936.2495878999	3.0723586625512853	0.15521244542040738	19.79453808764829	3.3177954962445033e-87	7.597751686399913e-85
ENSG00000154734	22866.18194636272	3.442493282774291	0.17937488151451864	19.191612859661483	4.349295958280624e-82	4.979943872231314e-80
ENSG00000154723	7343.998756248999	2.58271232029844	0.16387102935687003	15.76064012311743	5.804210158784253e-56	4.430547087871979e-54
ENSG00000180509	30230.089939061872	2.9441032355141465	0.20002575381710433	14.718620874220619	4.8954228712821376e-49	2.8026295938090236e-47
ENSG00000183145	9994.3692014475655	2.891352729343177	0.24882965813232796	11.619807506248115	3.268718987329785e-31	1.4970732961970415e-29
ENSG00000276289	11797.420890498055	2.860414335116021	0.4650110942359162	6.151281916867201	7.685915828758288e-10	2.9334578746427465e-8
ENSG00000277277	724.4955651750163	0.9285434966722581	0.2639160080647103	3.5183295756905584	4.3427265462315856e-4	0.014206919701243331
ENSG00000185437	2256.6349503217248	0.5159238415853782	0.19092294114268216	2.7022621718351467	0.006886943449391541	0.19713875623883287
ENSG00000160188	1876.1656640617891	-0.5371342845631476	0.2191756893942811	-2.4507019279719575	0.014257796617339202	0.3469341654217017
ENSG00000154719	1373.4105816509566	-0.5882330296378023	0.24219337676640337	-2.42877421955744	0.015149963555532827	0.3469341654217017
ENSG00000157557	3474.1807388202287	-0.49047049999333936	0.21015231420754843	-2.333881032159113	0.019601952208908476	0.3816853565744999
ENSG00000160207	885.411837231351	0.6335109732304918	0.27438885869945945	2.3088072024250152	0.02095428218211021	0.3816853565744999
ENSG00000177692	2181.3165393995087	0.4597945516386206	0.20024651175294478	2.2961426274725554	0.021667727665801304	0.3816853565744999
ENSG00000205929	1354.5940075241615	0.47330977076498126	0.2370019170328291	1.9970714865543437	0.045817417869466935	0.7071768653656723
ENSG00000186930	103.4136363096145	-1.125540000389146	0.5649023073359356	-1.9924507047902902	0.04632162873574272	0.7071768653656723
ENSG00000184012	5523.472076505253	-0.3955032751406318	0.2087252012971773	-1.8948515688698506	0.05811206898060455	0.7967612087475385
ENSG00000183036	968.6204695482214	-0.5296824411177254	0.28136345660213125	-1.8825559207809124	0.059760574755609565	0.7967612087475385
ENSG00000141959	16979.561344106118	2.0784772833988416	1.1163645138100644	1.861826722084852	0.06262751859150958	0.7967612087475385
ENSG00000166265	1222.558546617403	0.5314147373299625	0.3013194169103684	1.763625931507889	0.07779497886332129	0.8661614577250084
ENSG00000187175	207.7193625084629	0.7791298589995874	0.4424545208776199	1.7609264279957257	0.07825085619805071	0.8661614577250084
ENSG00000159128	2810.1028967700704	0.34670988561973565	0.19766756023847595	1.7540049829190365	0.07942965332849422	0.8661614577250084
ENSG00000244624	102.08670868978078	0.98875368938627	0.5753823346049786	1.7184289991542514	0.085718394672918	0.8922505627317373
ENSG00000274391	3083.211769964186	0.28836285491934927	0.17281465548568273	1.6686250023698912	0.09519172067551221	0.8953926577042929
ENSG00000154721	3847.5812265771774	-0.32360752789970587	0.1966082994417635	-1.6459504955718325	0.0997739515285352	0.8953926577042929
ENSG00000197683	369.2705307521134	-0.6841192132407378	0.42186045728221916	-1.62167181453338	0.10487363687969331	0.8953926577042929
ENSG00000184221	1250.316068758737	-0.4599669752430734	0.28490028627552016	-1.6144840753099508	0.10642246826501217	0.8953926577042929
ENSG00000154727	3764.8993821761374	0.2744551061970704	0.17008699602820604	1.6136160471171865	0.10661073393282555	0.8953926577042929
ENSG00000142173	5506.41377907619	-0.3121890226817662	0.19562201142745733	-1.5958788093615708	0.11051585349024536	0.8953926577042929
ENSG00000212938	216.08933775302992	-0.7131650196464983	0.45047598954506685	-1.5831365848526568	0.11339033656517247	0.8953926577042929
ENSG00000156239	3663.729060888589	-0.3652620062105435	0.2383661130374179	-1.532357102090287	0.12543433719810274	0.957482107278851
ENSG00000160182	178.72519094335763	-0.6949282161324378	0.47520819275354403	-1.4623658150878023	0.1436409919330742	0.9580301043822274
ENSG00000186925	146.4039306412974	0.6787157789134916	0.4725818721735589	1.4361866564873833	0.15094923490968326	0.9580301043822274
ENSG00000154654	5151.86754346496	0.3272152729065669	0.22897651150412626	1.4290342304418866	0.15299439517420943	0.9580301043822274
ENSG00000166351	1223.765352202392	0.3479020854695037	0.24981887140663178	1.3926173131381305	0.1637355447373714	0.9580301043822274
ENSG00000159200	9649.600368065014	-0.2338087661976356	0.17611158881371963	-1.3276171532638015	0.18430461491971625	0.9580301043822274
ENSG00000182591	328.51433914706354	-0.5006237950681773	0.3771083415954471	-1.3275330716636193	0.1843324074854702	0.9580301043822274
ENSG00000159263	4523.481710274843	-0.2535371742633756	0.19152189969537595	-1.3238025242368505	0.1855686375986064	0.9580301043822274
ENSG00000154640	1588.9794107205234	-0.2441735528820767	0.18795490234575582	-1.299107125351287	0.19390716814726616	0.9580301043822274
ENSG00000160181	720.3127140889655	0.3389672797408148	0.2627095638244418	1.290273847690345	0.1969555937442895	0.9580301043822274
ENSG00000232263	142.43803993936638	-0.6703359972138154	0.5255534155573846	-1.2754859494212958	0.20213729420218673	0.9580301043822274
ENSG00000206104	85.54432910204902	0.7922546217438264	0.6244972634334609	1.2686278517667833	0.20457382585175116	0.9580301043822274
ENSG00000183527	1893.4593046362645	0.2410503561620057	0.19104209089766847	1.2617656927295888	0.20703311049055534	0.9580301043822274
ENSG00000157617	9315.50330493414	-0.24775380203202685	0.19773360818423966	-1.2529675875897663	0.210217502759752	0.9580301043822274
